package_order	package_line	tier	paper_section_label	paper_section_title	namespace	package_name	package_paper_name	paper_role	component_order	component_kind	component_name	component_line	component_signature
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	12	field	jt	613	jt : K5EdgeRef j t
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	13	field	pair_r	614	pair_r : K5PairProductFrame
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	14	field	pair_r_ia	615	pair_r_ia : pair_r.ia.edge = is.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	15	field	pair_r_ib	616	pair_r_ib : pair_r.ib.edge = it.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	16	field	pair_r_ja	617	pair_r_ja : pair_r.ja.edge = js.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	17	field	pair_r_jb	618	pair_r_jb : pair_r.jb.edge = jt.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	18	field	pair_s	619	pair_s : K5PairProductFrame
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	19	field	pair_s_ia	620	pair_s_ia : pair_s.ia.edge = ir.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	20	field	pair_s_ib	621	pair_s_ib : pair_s.ib.edge = it.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	21	field	pair_s_ja	622	pair_s_ja : pair_s.ja.edge = jr.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	22	field	pair_s_jb	623	pair_s_jb : pair_s.jb.edge = jt.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	23	field	pair_t	624	pair_t : K5PairProductFrame
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	24	field	pair_t_ia	625	pair_t_ia : pair_t.ia.edge = ir.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	25	field	pair_t_ib	626	pair_t_ib : pair_t.ib.edge = is.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	26	field	pair_t_ja	627	pair_t_ja : pair_t.ja.edge = jr.edge
3	601	Core endpoint and K5 primitives	subsec:pair-product-incident-frames	Pair-product and incident frames	Erdos887Formal	Erdos887Formal.K5IncidentFrame	K5 incident frame	frame for incident endpoint products	27	field	pair_t_jb	628	pair_t_jb : pair_t.jb.edge = js.edge
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		0	PACKAGE	ActualFiveNearRootDivisorWitness	1153	structure ActualFiveNearRootDivisorWitness
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		1	field	d0	1155	d0 : Nat
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		2	field	d1	1156	d1 : Nat
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		3	field	d2	1157	d2 : Nat
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		4	field	d3	1158	d3 : Nat
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		5	field	d4	1159	d4 : Nat
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		6	field	h0div	1161	h0div : d0 ∣ n
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		7	field	h1div	1162	h1div : d1 ∣ n
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		8	field	h2div	1163	h2div : d2 ∣ n
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		9	field	h3div	1164	h3div : d3 ∣ n
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		10	field	h4div	1165	h4div : d4 ∣ n
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		11	field	h0lo	1167	h0lo : Real.sqrt (n : ℝ) < (d0 : ℝ)
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		12	field	h1lo	1168	h1lo : Real.sqrt (n : ℝ) < (d1 : ℝ)
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		13	field	h2lo	1169	h2lo : Real.sqrt (n : ℝ) < (d2 : ℝ)
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		14	field	h3lo	1170	h3lo : Real.sqrt (n : ℝ) < (d3 : ℝ)
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		15	field	h4lo	1171	h4lo : Real.sqrt (n : ℝ) < (d4 : ℝ)
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		16	field	h0hi	1173	h0hi :
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		17	field	h1hi	1176	h1hi :
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		18	field	h2hi	1179	h2hi :
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		19	field	h3hi	1182	h3hi :
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		20	field	h4hi	1185	h4hi :
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		21	field	h01	1189	h01 : d0 ≠ d1
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		22	field	h02	1190	h02 : d0 ≠ d2
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		23	field	h03	1191	h03 : d0 ≠ d3
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		24	field	h04	1192	h04 : d0 ≠ d4
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		25	field	h12	1193	h12 : d1 ≠ d2
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		26	field	h13	1194	h13 : d1 ≠ d3
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		27	field	h14	1195	h14 : d1 ≠ d4
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		28	field	h23	1196	h23 : d2 ≠ d3
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		29	field	h24	1197	h24 : d2 ≠ d4
4	1153	External reconstruction source	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalReconstruction	Erdos887Formal.ExternalReconstruction.ActualFiveNearRootDivisorWitness	Actual Five Near Root Divisor Witness		30	field	h34	1198	h34 : d3 ≠ d4
5	1410	External canonical extraction and Gate A packaging	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.OrderedFiveDivisorWitness	OrderedFiveDivisorWitness	ordered five-divisor witness used before K5 edge reads	0	PACKAGE	OrderedFiveDivisorWitness	1410	structure OrderedFiveDivisorWitness
5	1410	External canonical extraction and Gate A packaging	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.OrderedFiveDivisorWitness	OrderedFiveDivisorWitness	ordered five-divisor witness used before K5 edge reads	1	field	ordered01	1412	ordered01 : d0 < d1
5	1410	External canonical extraction and Gate A packaging	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.OrderedFiveDivisorWitness	OrderedFiveDivisorWitness	ordered five-divisor witness used before K5 edge reads	2	field	ordered12	1413	ordered12 : d1 < d2
5	1410	External canonical extraction and Gate A packaging	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.OrderedFiveDivisorWitness	OrderedFiveDivisorWitness	ordered five-divisor witness used before K5 edge reads	3	field	ordered23	1414	ordered23 : d2 < d3
5	1410	External canonical extraction and Gate A packaging	subsec:five-divisor-witnesses	Five-divisor witnesses	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.OrderedFiveDivisorWitness	OrderedFiveDivisorWitness	ordered five-divisor witness used before K5 edge reads	4	field	ordered34	1415	ordered34 : d3 < d4
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	0	PACKAGE	PairGCDDecomposition	1542	structure PairGCDDecomposition
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	1	field	g	1546	g : Nat
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	2	field	u	1547	u : Nat
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	3	field	v	1548	v : Nat
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	4	field	w	1549	w : Nat
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	5	field	g_pos	1550	g_pos : 0 < g
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	6	field	u_pos	1551	u_pos : 0 < u
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	7	field	v_pos	1552	v_pos : 0 < v
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	8	field	w_pos	1553	w_pos : 0 < w
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	9	field	left_eq	1554	left_eq : edgeLeftDivisor W e = g * u
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	10	field	right_eq	1555	right_eq : edgeRightDivisor W e = g * v
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	11	field	lcm_eq	1556	lcm_eq :
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	12	field	lcm_dvd_n	1558	lcm_dvd_n :
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	13	field	n_eq_lcm_mul_w	1560	n_eq_lcm_mul_w :
6	1542	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairGCDDecomposition	PairGCDDecomposition	raw gcd/lcm pair decomposition for one ordered divisor pair	14	field	reduced	1562	reduced : Nat.Coprime u v
7	1680	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairLowerPartnerData	PairLowerPartnerData	lower partner data n/d_i and n/d_j for a pair	0	PACKAGE	PairLowerPartnerData	1680	structure PairLowerPartnerData
7	1680	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairLowerPartnerData	PairLowerPartnerData	lower partner data n/d_i and n/d_j for a pair	1	field	lowerLeft	1685	lowerLeft : Nat
7	1680	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairLowerPartnerData	PairLowerPartnerData	lower partner data n/d_i and n/d_j for a pair	2	field	lowerRight	1686	lowerRight : Nat
7	1680	External canonical extraction and Gate A packaging	subsec:near-root-pairs	Near-root pairs	Erdos887Formal.ExternalCanonicalExtraction	Erdos887Formal.ExternalCanonicalExtraction.PairLowerPartnerData	PairLowerPartnerData	lower partner data n/d_i and n/d_j for a pair	3	field	lowerLeft_eq	1687	lowerLeft_eq : lowerLeft = P.v * P.w
